,brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews
753,ASUS,VivoBook,AMD,Ryzen 5,Missing,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,1,Yes,Yes,62450,74990,16,4.4,172,36
754,ASUS,VivoBook,AMD,Ryzen 5,Missing,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,1,No,No,58990,73990,20,4.4,324,34
756,HP,Pavilion,AMD,Ryzen 5,Missing,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,57999,70419,17,4.5,86,15
757,ASUS,VivoBook,AMD,Ryzen 5,Missing,16 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,15.6,0,No,No,56990,80990,29,4.8,4,1
758,HP,Pavilion,AMD,Ryzen 5,Missing,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Casual,15.6,1,No,Yes,72990,87717,16,4.7,16,4
759,HP,Pavilion,AMD,Ryzen 5,Missing,16 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,13.3,1,No,Yes,65990,89992,26,4.4,104,18
761,HP,Pavilion,AMD,Ryzen 5,Missing,16 GB,DDR4,512 GB,0 GB,Windows,64-bit,2,Casual,14,1,No,Yes,63990,74839,14,4.2,90,13
762,ASUS,Ryzen,AMD,Ryzen 5,Missing,8 GB,DDR4,512 GB,0 GB,Windows,32-bit,0,ThinNlight,15.6,1,No,Yes,49890,69990,28,4.7,6,1
763,DELL,Inspiron,AMD,Ryzen 5,Missing,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,49990,66161,24,4.4,47,7
765,HP,Envy,AMD,Ryzen 5,Missing,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,13.3,1,Yes,Yes,73999,88840,16,4.6,206,27
766,DELL,Inspiron,AMD,Ryzen 5,Missing,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,60990,67861,10,4.4,183,42
767,DELL,G5,AMD,Ryzen 5,Missing,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,6,Casual,Missing,0,No,No,76190,80996,5,4.4,358,64
769,ASUS,VivoBook,AMD,Ryzen 5,Missing,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,No,58990,73990,20,4.3,88,13
772,HP,Pavilion,AMD,Ryzen 5,Missing,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,55090,67931,18,4.4,364,52
775,acer,Aspire,AMD,Ryzen 5,Missing,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,No,44990,56990,21,4.4,313,39
776,HP,15s,AMD,Ryzen 5,Missing,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,53490,59990,10,4.4,826,118
779,MSI,Modern,AMD,Ryzen 5,Missing,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,0,No,No,54990,69990,21,4.4,1410,203
780,acer,Aspire,AMD,Ryzen 5,Missing,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,No,49990,72990,31,4.4,47,6
782,acer,Aspire,AMD,Ryzen 5,Missing,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,No,49990,64990,23,4.5,6,1
783,HP,14s,AMD,Ryzen 5,Missing,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,52500,60000,12,4.3,741,67
784,Vaio,E,AMD,Ryzen 5,Missing,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,2,No,Yes,49590,66990,25,4.1,700,144
785,ASUS,Ryzen,AMD,Ryzen 5,Missing,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,49990,64990,23,4.5,14,2
788,Lenovo,IDEAPAD,AMD,Ryzen 5,Missing,4 GB,DDR4,512 GB,0 GB,Windows,32-bit,0,Casual,Missing,1,No,No,59900,62200,3,3.7,3,0
789,HP,15s,AMD,Ryzen 5,Missing,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,54590,59990,9,4.4,349,69
791,HP,Ryzen,AMD,Ryzen 5,Missing,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,51890,58657,11,4.3,519,48
792,ASUS,VivoBook,AMD,Ryzen 5,Missing,16 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,17.3,1,No,No,78000,78990,1,2.7,3,0
793,Vaio,E,AMD,Ryzen 5,Missing,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,2,No,Yes,50990,66990,23,4.1,700,144
794,HP,Pavilion,AMD,Ryzen 5,Missing,16 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,59999,74839,19,4.1,19,1
795,HP,Pavilion,AMD,Ryzen 5,Missing,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Gaming,15.6,1,No,Yes,64990,69990,7,3.8,8,1
796,DELL,Ryzen,AMD,Ryzen 5,Missing,4 GB,DDR4,1024 GB,0 GB,Windows,32-bit,0,Casual,Missing,0,No,No,57900,78900,26,4.7,3,1
798,HP,Pavilion,AMD,Ryzen 5,Missing,4 GB,DDR4,0 GB,1024 GB,Windows,64-bit,4,Gaming,Missing,1,No,No,59990,68192,12,4.1,1480,151
799,DELL,Inspiron,AMD,Ryzen 5,Missing,8 GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,15.6,0,No,No,49490,66396,25,4.0,31,3
800,ASUS,VivoBook,AMD,Ryzen 5,Missing,8 GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,15.6,1,No,No,54990,78990,30,4.5,18,3
801,Lenovo,Legion,AMD,Ryzen 5,Missing,8 GB,DDR4,256 GB,1024 GB,Windows,64-bit,4,Casual,15.6,0,No,No,68500,90890,24,4.5,271,24
802,ASUS,VivoBook,AMD,Ryzen 5,Missing,8 GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,15.6,1,No,No,54990,78990,30,4.6,49,6
803,ASUS,VivoBook,AMD,Ryzen 5,Missing,8 GB,DDR4,256 GB,1024 GB,Windows,32-bit,0,Casual,15.6,1,No,Yes,54990,78990,30,4.4,474,65
804,Lenovo,Ideapad,AMD,Ryzen 5,Missing,8 GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Gaming,15.6,1,No,Yes,63990,85290,24,4.5,861,116
805,HP,Pavilion,AMD,Ryzen 5,Missing,4 GB,DDR4,256 GB,1024 GB,Windows,64-bit,4,Gaming,Missing,1,No,No,80000,83085,3,4.6,34,6
807,ASUS,VivoBook,AMD,Ryzen 5,Missing,4 GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,Missing,1,No,Yes,62990,74990,16,4.2,165,34
808,HP,Ryzen,AMD,Ryzen 5,Missing,4 GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,No,52990,57331,7,4.4,698,74
810,ASUS,ASUS,AMD,Ryzen 7,Missing,16 GB,DDR4,512 GB,0 GB,Windows,32-bit,4,Gaming,17.3,0,No,No,76990,106990,28,4.8,22,3
812,ASUS,ROG,AMD,Ryzen 7,Missing,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Casual,15.6,0,No,No,71990,90990,20,4.5,144,16
813,ASUS,ROG,AMD,Ryzen 7,Missing,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Casual,15.6,0,No,No,71990,90990,20,4.5,1810,235
814,Lenovo,Lenovo,AMD,Ryzen 7,Missing,16 GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Casual,15.6,1,No,Yes,99990,138490,27,4.6,26,1
817,ASUS,ASUS,AMD,Ryzen 7,Missing,16 GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Gaming,17.3,0,No,No,82990,107990,23,4.6,1067,145
819,ASUS,VivoBook,AMD,Ryzen 7,Missing,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,16,1,No,No,92990,129990,28,4.7,25,4
823,Lenovo,Ideapad,AMD,Ryzen 7,Missing,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,Yes,60990,60990,0,4.4,530,69
825,HP,Pavilion,AMD,Ryzen 7,Missing,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Casual,16,1,No,No,90990,103215,11,4.6,273,40
826,Vaio,E,AMD,Ryzen 7,Missing,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,2,No,Yes,56990,76090,25,3.8,139,26
827,ASUS,VivoBook,AMD,Ryzen 7,Missing,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,No,63990,67551,5,4.2,77,7
828,Lenovo,Ideapad,AMD,Ryzen 7,Missing,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,Yes,63990,85290,24,4.4,105,10
829,HP,Ryzen,AMD,Ryzen 7,Missing,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,57999,73625,21,4.1,44,5
831,Lenovo,Yoga,AMD,Ryzen 7,Missing,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,16,1,Yes,No,78990,125888,37,4.7,6,0
835,DELL,G5,AMD,Ryzen 7,Missing,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,6,Casual,16,0,No,No,89990,99067,9,4.1,191,27
837,Lenovo,Ryzen,AMD,Ryzen 7,Missing,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Casual,16,0,No,No,73138,112990,35,3.0,4,1
841,HP,15s,AMD,Ryzen 7,Missing,4 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,68500,72000,4,4.5,134,22
843,Vaio,E,AMD,Ryzen 7,Missing,8 GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,2,No,Yes,57990,76090,23,3.8,139,26
844,HP,Pavilion,AMD,Ryzen 7,Missing,16 GB,DDR4,512 GB,0 GB,Windows,64-bit,2,Casual,14,1,No,Yes,79990,86352,7,3.5,23,6
845,HP,Pavilion,AMD,Ryzen 7,Missing,16 GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Gaming,15.6,1,No,Yes,84990,111108,23,2.8,4,2
846,MSI,Alpha,AMD,Ryzen 7,Missing,16 GB,DDR4,1024 GB,0 GB,Windows,64-bit,8,Casual,15.6,1,No,No,99990,145990,31,4.7,108,24
847,ASUS,ROG,AMD,Ryzen 7,Missing,8 GB,LPDDR4X,1024 GB,0 GB,Windows,64-bit,4,Casual,14,0,No,No,72990,123990,41,4.6,198,24
853,ASUS,TUF,AMD,Ryzen 7,Missing,4 GB,DDR4,1024 GB,0 GB,Windows,32-bit,4,Gaming,Missing,0,No,No,95990,105990,9,4.7,57,3
854,HP,OMEN,AMD,Ryzen 7,Missing,4 GB,DDR4,1024 GB,0 GB,Windows,64-bit,8,Casual,16,1,No,No,159990,186348,14,4.8,17,2
860,ASUS,ROG,AMD,Ryzen 7,Missing,4 GB,DDR4,1024 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,Yes,76000,126990,40,5.0,1,1
861,ASUS,ROG,AMD,Ryzen 7,Missing,4 GB,LPDDR4X,1024 GB,0 GB,Windows,64-bit,4,Casual,16,1,Yes,No,99990,162990,38,4.4,77,15
863,ASUS,Ryzen,AMD,Ryzen 7,Missing,16 GB,LPDDR4X,1024 GB,0 GB,Windows,64-bit,0,ThinNlight,13.3,1,No,Yes,84970,110990,23,3.0,2,1
864,HP,Pavilion,AMD,Ryzen 7,Missing,16 GB,DDR4,256 GB,1024 GB,Windows,64-bit,4,Gaming,15.6,1,No,Yes,75990,93564,18,4.5,1084,123
865,acer,Nitro,AMD,Ryzen 7,Missing,16 GB,DDR4,256 GB,1024 GB,Windows,64-bit,6,Casual,15.6,1,No,No,89990,119990,25,4.4,272,36
866,acer,Nitro,AMD,Ryzen 7,Missing,16 GB,DDR4,256 GB,1024 GB,Windows,64-bit,4,Casual,15.6,0,No,No,81990,119900,31,4.5,141,24
869,ASUS,ROG,AMD,Ryzen 9,Missing,16 GB,DDR4,1024 GB,0 GB,Windows,32-bit,0,Casual,15.6,1,No,No,154990,207990,25,4.6,194,42
870,ASUS,ROG,AMD,Ryzen 9,Missing,16 GB,DDR4,1024 GB,0 GB,Windows,64-bit,8,Casual,15.6,1,No,Yes,199990,259990,23,4.7,9,2
871,ASUS,ROG,AMD,Ryzen 9,Missing,16 GB,DDR4,1024 GB,0 GB,Windows,64-bit,4,Casual,15.6,0,No,No,114990,162990,29,4.6,28,4
872,ASUS,ROG,AMD,Ryzen 9,Missing,16 GB,DDR4,1024 GB,0 GB,Windows,64-bit,6,Casual,15.6,1,No,Yes,129990,187990,30,4.3,204,35
873,ASUS,ROG,AMD,Ryzen 9,Missing,16 GB,LPDDR4X,1024 GB,0 GB,Windows,64-bit,4,Casual,13.4,1,Yes,Yes,114990,175990,34,4.3,32,6
875,ASUS,VivoBook,AMD,Ryzen 9,Missing,4 GB,DDR4,1024 GB,0 GB,Windows,64-bit,0,Casual,16,1,No,No,104990,142990,26,4.5,14,2
876,ASUS,ROG,AMD,Ryzen 9,Missing,4 GB,LPDDR4X,1024 GB,0 GB,Windows,64-bit,4,Casual,16,1,Yes,No,114990,181990,36,4.7,14,1
877,ASUS,ROG,AMD,Ryzen 9,Missing,4 GB,LPDDR4X,1024 GB,0 GB,Windows,64-bit,4,Casual,16,1,Yes,Yes,124990,175990,28,5.0,3,0
881,ASUS,ROG,AMD,Ryzen 9,Missing,4 GB,LPDDR4X,1024 GB,0 GB,Windows,64-bit,4,Casual,Missing,1,Yes,Yes,142990,201990,29,4.0,4,1
883,ASUS,ROG,AMD,Ryzen 9,Missing,4 GB,LPDDR4X,1024 GB,0 GB,Windows,64-bit,4,Casual,Missing,1,Yes,Yes,124990,194990,35,4.2,44,12
884,ASUS,ROG,AMD,Ryzen 9,Missing,4 GB,DDR4,1024 GB,0 GB,Windows,64-bit,6,Casual,16,0,No,No,141990,189990,25,4.2,61,13
895,Lenovo,Thinkpad,AMD,Ryzen 5,10th,8 GB,DDR4,512 GB,0 GB,DOS,64-bit,0,ThinNlight,14,0,No,No,57490,78400,26,4.2,18,4
